PMX Bone Weight
0.06970978,13.76651,-1.303717,0.01847824,0.004016892,-0.9998212,上半身,下半身,,,0.7,0.3,0,0,False,0,0,0,0,0,0,0,0,0
0.1222,14.32195,0.02890015,-0.3576571,-0.15024,0.9216883,上半身,上半身2,下半身,センター,0.5052631,0.4210527,0.07368427,0,False,0,0,0,0,0,0,0,0,0
0.1269999,14.60815,0.1021996,-0.362506,-0.251424,0.897427,上半身2,上半身,,,0.75,0.25,0,0,False,0,0,0,0,0,0,0,0,0
0,14.60715,0.03030014,0,-0.2413109,0.9704477,上半身2,上半身,,,0.75,0.25,0,0,False,0,0,0,0,0,0,0,0,0
0,14.32155,-0.02939987,0,-0.142395,0.9898098,上半身,上半身2,下半身,センター,0.5052631,0.4210527,0.07368427,0,False,0,0,0,0,0,0,0,0,0
0.4076996,16.87015,-0.06800079,0.8527287,0.5148827,-0.08802997,上半身2,首,上半身2,左肩,0.45,0.3,0.2,0.05,False,0,0,0,0,0,0,0,0,0
0.3661003,16.86545,0.05369949,0.6685717,0.6498677,0.3615018,上半身2,首,上半身2,左肩,0.46,0.27,0.23,0.04,False,0,0,0,0,0,0,0,0,0
0.5004997,16.76385,0.05160141,0.4810837,0.8626375,0.1562529,上半身2,上半身2,左肩,首,0.46,0.32,0.18,0.04,False,0,0,0,0,0,0,0,0,0
0.2707005,14.85615,0.2168007,-0.07247303,-0.2966242,0.9522405,上半身2,上半身,,,0.9,0.1,0,0,False,0,0,0,0,0,0,0,0,0
0.2730999,14.60615,0.1357002,-0.07835498,-0.2675169,0.9603618,上半身2,上半身,,,0.75,0.25,0,0,False,0,0,0,0,0,0,0,0,0
0.4447994,14.59925,0.1202011,0.1575139,-0.2602099,0.9526175,上半身2,上半身,,,0.75,0.25,0,0,False,0,0,0,0,0,0,0,0,0
0.4660997,14.85715,0.2004013,0.180991,-0.2900829,0.9397308,上半身2,上半身,,,0.9,0.1,0,0,False,0,0,0,0,0,0,0,0,0
0.2621994,15.16165,0.3086014,-0.08019102,-0.2801491,0.9566013,上半身2,,,,1,0,0,0,False,0,0,0,0,0,0,0,0,0
0.1226006,15.15765,0.2716999,-0.3806309,-0.2611939,0.8870726,上半身2,,,,1,0,0,0,False,0,0,0,0,0,0,0,0,0
0.1276999,14.85445,0.1833992,-0.3706948,-0.2783109,0.8860747,上半身2,上半身,,,0.9,0.1,0,0,False,0,0,0,0,0,0,0,0,0
0.6210003,14.58645,0.07189941,0.479745,-0.258391,0.8384979,上半身2,上半身,,,0.75,0.25,0,0,False,0,0,0,0,0,0,0,0,0
0.6643,14.85745,0.1341,0.5266548,-0.2800729,0.8026168,上半身2,上半身,,,0.9,0.1,0,0,False,0,0,0,0,0,0,0,0,0
0,15.15675,0.1942997,0,-0.2827629,0.9591897,上半身2,,,,1,0,0,0,False,0,0,0,0,0,0,0,0,0
0,14.85345,0.1022987,0,-0.2940509,0.9557897,上半身2,上半身,,,0.9,0.1,0,0,False,0,0,0,0,0,0,0,0,0
0.7497997,14.57965,-0.05369949,0.7194827,-0.2560889,0.6455717,上半身2,上半身,,,0.75,0.25,0,0,False,0,0,0,0,0,0,0,0,0
0.8023996,14.84175,-0.0009994507,0.7801411,-0.247188,0.574698,上半身2,上半身,,,0.9,0.1,0,0,False,0,0,0,0,0,0,0,0,0
0.8649998,14.57085,-0.2222004,0.9114944,-0.2227121,0.3457992,上半身2,上半身,,,0.75,0.25,0,0,False,0,0,0,0,0,0,0,0,0
0.9050999,14.81625,-0.1824989,0.9284102,-0.194107,0.3168231,上半身2,上半身,,,0.9,0.1,0,0,False,0,0,0,0,0,0,0,0,0
0.4862995,16.74675,0.1627007,0.4379092,0.8152243,0.3790052,上半身2,上半身2,左肩,首,0.48,0.34,0.16,0.02,False,0,0,0,0,0,0,0,0,0
0.677,16.67795,0.1380005,0.2329979,0.8557298,0.4619938,左肩,上半身2,,,0.66,0.34,0,0,False,0,0,0,0,0,0,0,0,0
